id,station_name,line_name,station_type,lat,lng,source
0105,괴정,부산 도시철도 1호선,urban_rail,35.1,128.9925,KRIC_전체_도시철도역사정보_20260228
0124,교대,부산 도시철도 1호선,urban_rail,35.19583,129.08,KRIC_전체_도시철도역사정보_20260228
0128,교대,대구 도시철도 1호선,urban_rail,35.8510953,128.590643,KRIC_전체_도시철도역사정보_20260228
8004,교대,동해선,urban_rail,35.1938,129.07958,KRIC_전체_도시철도역사정보_20260228
0223|0340,교대(법원·검찰청),2호선·3호선,urban_rail,37.493957,127.014431,KRIC_전체_도시철도역사정보_20260228
0231,구남,부산 도시철도 2호선,urban_rail,35.19681,128.99492,KRIC_전체_도시철도역사정보_20260228
G101,구래,김포도시철도,urban_rail,37.645354,126.6285,KRIC_전체_도시철도역사정보_20260228
1701,구로,경부선,urban_rail,37.503178,126.882037,KRIC_전체_도시철도역사정보_20260228
0232,구로디지털단지,2호선,urban_rail,37.4852931,126.901456,KRIC_전체_도시철도역사정보_20260228
1026,구룡,분당선,urban_rail,37.486985,127.059496,KRIC_전체_도시철도역사정보_20260228
1205,구리,경의중앙선,urban_rail,37.60326,127.143373,KRIC_전체_도시철도역사정보_20260228
807,구리(구리전통시장),8호선,urban_rail,37.60256,127.14073,KRIC_전체_도시철도역사정보_20260228
0232,구명,부산 도시철도 2호선,urban_rail,35.20253,128.99931,KRIC_전체_도시철도역사정보_20260228
7001,구미,대경선,urban_rail,36.128278,128.331071,KRIC_전체_도시철도역사정보_20260228
4121,구반포,서울 도시철도 9호선,urban_rail,37.501389,126.987222,KRIC_전체_도시철도역사정보_20260228
0615,구산,6호선,urban_rail,37.611196,126.9172519,KRIC_전체_도시철도역사정보_20260228
0130,구서,부산 도시철도 1호선,urban_rail,35.247407,129.091327,KRIC_전체_도시철도역사정보_20260228
1863,구성,분당선,urban_rail,37.299013,127.105664,KRIC_전체_도시철도역사정보_20260228
0117,구암,대전 도시철도 1호선,urban_rail,36.356605,127.33083,KRIC_전체_도시철도역사정보_20260228
0317,구암(과학대보건대입구),대구 도시철도 3호선,urban_rail,35.92574223,128.5503415,KRIC_전체_도시철도역사정보_20260228
0213,구의(광진구청),2호선,urban_rail,37.537157,127.0862124,KRIC_전체_도시철도역사정보_20260228
1813,구일,경인선,urban_rail,37.495973,126.869201,KRIC_전체_도시철도역사정보_20260228
0320,구파발,3호선,urban_rail,37.636612,126.918827,KRIC_전체_도시철도역사정보_20260228
0314,구포,부산 도시철도 3호선,urban_rail,35.20644,128.99631,KRIC_전체_도시철도역사정보_20260228
1214,국수,경의중앙선,urban_rail,37.516171,127.399402,KRIC_전체_도시철도역사정보_20260228
0217,국제금융센터·부산은행,부산 도시철도 2호선,urban_rail,35.14583,129.06672,KRIC_전체_도시철도역사정보_20260228
